department,course_name,time_credit,credit,professor,student_capacity,english_class,chinese_class,need_approval,cu_class,honors_class,engineering_certification,target_academic_year,recommended_academic_year,course_registration_notes,course_description,year,semester,course_code,course_section,timeslot,classroom,extended_syllabus
컴퓨터공학과,컴퓨터프로그래밍I,3.0,3.0,이주호,83,True,False,False,False,False,False,1,1,,(구)기초공학설계,2024,1학기,CSE2003,1,"화,목 15:00~16:15",D105,True
컴퓨터공학과,컴퓨터프로그래밍I,3.0,3.0,장부루,67,True,False,False,False,False,False,1,1,,(구)기초공학설계,2024,1학기,CSE2003,2,"화,목 09:00~10:15",D105,True
컴퓨터공학과,소프트웨어개발도구및환경실습,3.0,6.0,김승욱,27,False,False,False,False,False,False,"2,3,4",2,,구)컴퓨터공학설계및실험I,2024,1학기,CSE3013,1,월 15:00~20:50,R914,True
컴퓨터공학과,소프트웨어개발도구및환경실습,3.0,6.0,최준석,31,False,False,False,False,False,False,"2,3,4",2,,구)컴퓨터공학설계및실험I,2024,1학기,CSE3013,2,화 15:00~20:50,R914,True
컴퓨터공학과,소프트웨어개발도구및환경실습,3.0,6.0,이주호,33,False,False,False,False,False,False,"2,3,4",2,,구)컴퓨터공학설계및실험I,2024,1학기,CSE3013,3,수 15:00~20:50,R914,True
컴퓨터공학과,소프트웨어개발도구및환경실습,3.0,6.0,김세준,30,False,False,False,False,False,False,"2,3,4",2,,구)컴퓨터공학설계및실험I,2024,1학기,CSE3013,4,목 15:00~20:50,R914,True
컴퓨터공학과,소프트웨어개발도구및환경실습,3.0,6.0,소정민,30,False,False,False,False,False,False,"2,3,4",2,,구)컴퓨터공학설계및실험I,2024,1학기,CSE3013,5,금 15:00~20:50,R914,True
컴퓨터공학과,컴퓨터공학실험II,3.0,6.0,박성용,12,False,False,False,False,False,False,"2,3,4",2,,,2024,1학기,CSE3016,1,화 15:00~20:50,AS714,True
컴퓨터공학과,컴퓨터시스템개론,3.0,3.0,문의현,143,True,False,False,False,False,False,"2,3,4",2,,(구)어셈블리프로그래밍,2024,1학기,CSE3030,1,"화,목 09:00~10:15",R404,True
컴퓨터공학과,컴퓨터시스템개론,3.0,3.0,최재승,111,True,False,False,False,False,False,"2,3,4",2,,(구)어셈블리프로그래밍,2024,1학기,CSE3030,2,"수,금 09:00~10:15",K501,True
