department,course_name,time_credit,credit,professor,student_capacity,english_class,chinese_class,need_approval,cu_class,honors_class,engineering_certification,target_academic_year,recommended_academic_year,course_registration_notes,course_description,year,semester,course_code,course_section,timeslot,classroom,extended_syllabus
전인교육원,현대한국의형성,3.0,3.0,주채영,80,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2002,1,"월,수 10:30~11:45",K301,False
전인교육원,현대한국의형성,3.0,3.0,서진교,76,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2002,2,"월,수 12:00~13:15",K201,False
전인교육원,현대한국의형성,3.0,3.0,장종진,65,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2002,3,"화,목 09:00~10:15",K402,False
전인교육원,현대한국의형성,3.0,3.0,임평섭,76,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2002,4,월 13:30~16:15,K303,False
전인교육원,현대동아시아의형성,3.0,3.0,방향숙,78,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2003,1,"화,목 12:00~13:15",K202,False
전인교육원,현대동아시아의형성,3.0,3.0,이지영,72,False,False,False,False,False,False,all,"1,2",,,2024,1학기,CHS2003,2,"월,수 16:30~17:45",K303,False
전인교육원,현대서양의형성,3.0,3.0,강정석,75,False,False,False,False,False,False,all,"1,2",,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목,2024,1학기,CHS2004,1,월 13:30~16:15,K201,False
전인교육원,현대서양의형성,3.0,3.0,문종현,48,False,False,False,False,False,False,all,"1,2",,근대시민사회의형성(SHU4017)의 대체과목/영미문화의이해(LCU4010)의 대체과목,2024,1학기,CHS2004,2,"월,수 12:00~13:15",J102,False
전인교육원,현대세계와윤리문제,3.0,3.0,이임찬,67,False,False,False,False,False,False,all,"1,4",,구 윤리와가치,2024,1학기,ETS2001,1,"화,목 10:30~11:45",K503,False
전인교육원,현대세계와윤리문제,3.0,3.0,구익희,70,False,False,False,False,False,False,all,"1,4",,구 윤리와가치,2024,1학기,ETS2001,2,"화,목 15:00~16:15",K503,False
전인교육원,현대세계와윤리문제,3.0,3.0,하유진,68,False,False,False,False,False,False,all,"1,4",,구 윤리와가치,2024,1학기,ETS2001,3,"수,금 13:30~14:45",K301,False
